Pupils,Girls,Boys,Gross_salary_year,Total_Teachers,Total_Teaching_Assistants ,Non_classroom_based_support,Full_Time_Teachers,Pupil_Teacher_Ratio,Grammer_score_AVERAGE,Math_score_AVERAGE,Reading_score_AVERAGE,School_Phase
1064,51.2,48.8,44352,66,41,26,64,16.6,103,103,100,Secondary
1683,54.1,45.9,41102,103,18,45,100.1,16.8,104,104,105,Secondary
1343,55,45,37426,97,28,43,89.5,15,105,104,102,Secondary
404,50.2,49.8,34963,18,23,4,16.2,22.5,106,106,107,Primary
494,53.8,46.2,34777,25,32,3,22.8,20.2,95,100,96,Primary
564,50.4,49.6,35050,26,31,9,23.4,22.6,105,106,106,Primary
241,53.9,46.1,32037,14,19,5,13.6,16.7,,,,Primary
528,51.3,48.7,36771,24,29,3,22.2,22.2,105,105,111,Primary
289,51.6,48.4,40119,15,11,3,14,20.6,103,104,102,Primary
462,46.8,53.2,35864,19,19,3,18.2,24.9,104,106,103,Primary
1493,49.9,50.1,38720,97,19,40,92.6,16.1,97,99,96,Secondary
328,48.5,51.5,37845,17,15,3,15.6,20.4,102,98,99,Primary
214,55.1,44.9,38155,10,14,4,9.5,21.6,104,104,102,Primary
229,49.8,50.2,38289,9,13,3,8.8,26,102,105,101,Primary
509,47.3,52.7,36640,31,17,3,30.3,16.5,106,105,107,Primary
466,50,50,34700,22,36,6,21.1,20.9,103,100,97,Primary
477,48.2,51.8,35540,22,29,5,19.6,23,104,103,103,Primary
244,52.9,47.1,38665,11,11,3,9.6,24.9,108,105,105,Primary
205,45.9,54.1,37543,8,12,4,8,25.6,107,105,108,Primary
293,50.5,49.5,37538,17,11,5,15.2,19.3,112,108,110,Primary
260,54.2,45.8,34802,8,9,1,6.3,37.3,107,104,102,Primary
1302,49.8,50.2,41923,80,40,20,77.9,16.7,111,106,108,Secondary
1448,49,51,39768,99,20,38,96.2,15,108,105,107,Secondary
237,52.3,47.7,37994,12,15,2,11.4,19.8,105,104,102,Primary
222,49.1,50.9,35193,12,2,3,12,18.5,109,108,105,Secondary
1115,47.8,52.2,37871,77,15,21,74,15.1,105,104,104,Secondary
228,54.4,45.6,40058,11,17,4,10.1,21.6,100,99,101,Primary
283,49.1,50.9,40093,13,21,8,12.6,22.2,101,99,98,Primary
465,51.2,48.8,40051,23,33,6,20.2,21.9,106,105,104,Primary
455,51.2,48.8,41093,22,37,9,20.2,21.9,108,106,104,Primary
714,48.5,51.5,36130,33,46,6,32.4,20.1,106,104,104,Primary
441,46,54,39434,21,34,10,20,21,108,106,106,Primary
436,48.9,51.1,40237,18,50,6,16.8,25.5,107,105,105,Primary
446,48.9,51.1,37829,25,25,3,24,18,108,108,108,Primary
494,47,53,36837,23,27,7,22.6,21.9,109,106,107,Primary
466,46.8,53.2,40013,23,30,11,22.6,19.8,105,105,106,Primary
238,49.6,50.4,38565,12,27,3,11.6,20.4,101,100,96,Primary
358,47.5,52.5,37441,19,23,3,18.4,18.5,105,104,103,Primary
402,49,51,38300,19,30,5,16.9,23.7,104,104,101,Primary
231,42.9,57.1,39363,10,20,2,10,21.9,106,106,106,Primary
450,51.6,48.4,39605,18,29,12,17.2,25.7,107,107,108,Primary
466,49.1,50.9,39842,17,33,12,16.6,27.6,99,95,97,Primary
311,47.6,52.4,35920,18,19,7,18,17.3,105,105,105,Primary
247,48.2,51.8,35538,14,18,6,14,17.5,106,104,103,Primary
327,50.5,49.5,37237,19,17,13,16.8,19.2,107,106,105,Primary
430,48.8,51.2,37000,18,32,4,18,23.5,106,104,103,Primary
337,47.5,52.5,37920,16,24,4,15,22.1,106,106,108,Primary
397,44.6,55.4,35904,20,20,7,19.5,20,108,107,106,Primary
173,46.2,53.8,39416,9,13,8,9,19.2,106,105,104,Primary
406,52,48,35787,21,15,3,20.4,19.9,107,105,104,Primary
210,48.1,51.9,40367,10,19,1,9.7,21.7,109,107,107,Primary
339,50.1,49.9,36963,18,16,4,16.6,19.5,107,106,106,Primary
354,48.9,51.1,38859,19,21,12,18.6,19,107,102,103,Primary
461,49,51,37598,18,22,3,17.5,25.2,105,105,104,Primary
204,51.5,48.5,37745,10,15,10,10,20.4,108,106,106,Primary
293,50.2,49.8,36935,16,25,4,14,21,106,104,104,Primary
91,47.3,52.7,34928,5,8,1,5,18.1,110,108,108,Primary
218,46.3,53.7,42360,9,15,8,9,23.9,105,104,106,Primary
147,51,49,39562,8,10,3,7.4,19.9,106,105,103,Primary
244,50.8,49.2,37817,16,11,9,14.8,16,100,105,105,Primary
195,48.2,51.8,39829,9,11,6,8.8,22.1,106,106,103,Primary
240,44.6,55.4,42524,12,13,6,11,20.4,103,101,102,Primary
219,52.1,47.9,36618,10,10,4,9.5,23.1,104,101,99,Primary
207,51.2,48.8,42794,9,18,4,9,23,108,106,104,Primary
238,46.2,53.8,36816,11,17,5,10.5,22.5,0,0,0,Primary
252,52.4,47.6,39037,11,11,4,10.4,24.3,103,105,104,Primary
460,49.8,50.2,36667,18,25,9,17.3,26.2,105,103,102,Primary
207,47.3,52.7,37873,10,15,1,10,20.6,109,108,105,Primary
332,45.8,54.2,35928,15,21,4,14.8,22.3,111,110,108,Primary
416,43.5,56.5,36249,23,24,9,20.4,20.1,0,0,0,Primary
212,51.9,48.1,43759,9,15,3,8.3,25.6,105,103,103,Primary
206,51,49,40717,10,18,3,10,20.6,108,108,107,Primary
152,51.3,48.7,41860,6,11,5,6,25.3,106,105,107,Primary
205,46.3,53.7,40343,9,10,5,9,22.8,105,104,102,Primary
246,48.8,51.2,37608,12,16,2,11.5,20.6,103,105,104,Primary
234,53,47,38192,10,14,3,10,23.1,106,104,104,Primary
242,52.9,47.1,39202,12,18,3,11.5,19.9,107,103,103,Primary
236,48.7,51.3,40100,10,13,2,9.5,24,103,103,104,Primary
414,50.2,49.8,36818,19,45,3,16.2,25.6,105,104,103,Primary
375,51.7,48.3,38174,15,20,5,14.6,25.7,103,101,104,Primary
888,46.7,53.3,42366,56,22,20,52.3,17,103,104,104,Secondary
1238,50.2,49.8,40415,82,30,27,80,15.5,104,103,105,Secondary
807,45.1,54.9,39069,60,24,30,54.3,14.9,106,105,106,Secondary
1359,50.2,49.8,39808,93,27,36,88.5,15.4,110,108,109,Secondary
1114,50.1,49.9,41802,78,30,24,76.4,14.6,102,102,99,Secondary
1074,49.3,50.7,40248,72,9,28,70.8,15.2,99,99,100,Secondary
314,46.5,53.5,36977,15,14,3,13.2,23.8,104,104,104,Primary
433,51,49,40916,21,28,12,19.4,22,101,104,102,Primary
206,46.1,53.9,37034,9,12,7,8.8,23.5,107,107,105,Primary
204,46.1,53.9,39284,10,15,8,9,22.7,101,103,98,Primary
682,51.8,48.2,38248,47,33,20,44.7,15.3,110,107,106,Secondary
789,50.6,49.4,39868,36,48,12,35.6,21.9,107,106,105,Primary
437,48.1,51.9,39365,21,31,4,18.9,23.1,104,104,105,Primary
631,49.8,50.2,38778,28,43,5,27.4,22.4,100,101,101,Primary
469,47.8,52.2,39849,23,26,4,22.1,21.2,105,105,104,Primary
732,54.6,45.4,45435,47,13,19,46.4,15.8,105,105,104,Secondary
1193,50.8,49.2,40520,82,40,21,79.8,14.9,111,105,107,Secondary
312,46.2,53.8,51459,13,20,9,9.8,32,105,100,106,Primary
1216,46.1,53.9,40833,72,33,48,70.9,17.2,106,106,104,Secondary
1297,48.6,51.4,42481,86,33,41,83.1,15.6,101,102,100,Secondary
464,48.7,51.3,34136,21,16,7,20.8,21.1,106,105,105,Primary
332,50.6,49.4,37787,21,17,4,17.6,18.2,109,110,108,Primary
1283,49.2,50.8,37044,78,19,23,75.5,17,104,106,101,Secondary
205,49.3,50.7,36093,8,12,2,8,25.6,106,102,107,Primary
406,51,49,35844,20,15,4,19.8,20,105,103,107,Primary
315,44.4,55.6,40113,16,29,5,15,21,105,104,105,Primary
156,50.6,49.4,35789,9,11,4,8.3,18.8,103,104,102,Primary
348,42.5,57.5,35848,20,14,6,19,18.3,107,106,105,Primary
249,55,45,39004,12,11,8,12,20.8,103,103,101,Primary
252,50,50,34532,16,14,7,12,20.9,105,103,103,Primary
238,47.1,52.9,34778,17,18,11,16.6,14.4,106,104,105,Primary
316,51.9,48.1,42307,12,17,10,12,24,105,102,105,Primary
304,48.4,51.6,36473,17,19,12,17,17.9,104,102,101,Primary
368,49.2,50.8,35568,15,26,16,12.7,29,110,107,105,Primary
425,45.2,54.8,38403,17,23,12,16.8,25.3,112,109,111,Primary
320,46.3,53.8,38407,22,20,9,21.2,15.1,104,102,103,Primary
383,50.9,49.1,38976,23,32,8,21.1,18.2,102,105,105,Primary
424,49.1,50.9,38188,24,31,11,21.9,19.4,110,108,107,Primary
308,52.6,47.4,38089,16,17,20,14.8,20.1,99,101,101,Primary
241,49.8,50.2,36109,13,18,6,12.5,19.3,106,105,102,Primary
304,44.4,55.6,35181,20,20,7,18.3,16.6,106,106,104,Primary
642,48.3,51.7,36391,32,52,30,31.8,20.2,100,100,99,Primary
413,48.2,51.8,35250,20,22,4,16.5,25,103,104,103,Primary
436,50.5,49.5,37312,19,25,21,18.6,23.4,98,103,98,Primary
470,51.1,48.9,34574,25,34,11,24.4,19.3,103,102,101,Primary
234,49.1,50.9,36577,11,17,11,11,21.3,100,102,103,Primary
138,39.9,60.1,41962,16,15,9,14.8,9.3,101,104,102,Primary
223,52.5,47.5,35442,12,25,16,10.8,20.6,107,107,105,Primary
249,57,43,39170,13,21,13,12.8,19.5,102,103,101,Primary
216,49.5,50.5,35921,15,17,10,14.8,14.6,103,103,101,Primary
280,52.1,47.9,38901,14,16,15,13.4,20.9,104,104,102,Primary
411,49.1,50.9,37292,22,26,18,21.5,19.1,106,104,102,Primary
382,48.2,51.8,36468,17,16,10,17,22.5,,,,Primary
396,48,52,36971,23,18,18,22,18,107,105,104,Primary
221,47.1,52.9,36917,13,14,11,13,17,110,108,107,Primary
474,47.7,52.3,38182,19,32,19,18.6,25.5,107,105,110,Primary
226,48.2,51.8,35155,13,16,12,12.5,18.1,111,106,107,Primary
217,51.2,48.8,35459,9,23,7,6.3,34.5,110,110,106,Primary
205,51.7,48.3,40987,8,23,8,8,25.6,108,106,102,Primary
256,42.6,57.4,32238,16,18,14,15.2,16.8,105,105,104,Primary
251,53.4,46.6,39181,15,16,15,13.8,18.2,114,110,109,Primary
243,48.1,51.9,39575,15,20,13,12.4,19.7,104,106,103,Primary
222,50.9,49.1,38721,12,16,7,11.7,19.1,107,106,105,Primary
332,49.7,50.3,37336,17,23,17,16.5,20.1,107,105,103,Primary
224,48.7,51.3,37768,8,16,11,7.2,31.1,104,105,104,Primary
237,52.3,47.7,37166,11,16,4,10,23.7,103,100,99,Primary
194,50,50,36257,11,19,9,10.3,18.8,109,110,108,Primary
232,51.3,48.7,40395,10,13,8,9,25.8,105,104,102,Primary
401,49.4,50.6,37230,19,32,11,17.9,22.4,111,110,106,Primary
226,52.7,47.3,38740,15,13,6,13.2,17.1,103,103,100,Primary
433,49.4,50.6,37811,21,13,9,19.7,21.6,105,104,104,Primary
241,41.9,58.1,40698,13,12,10,11,21.8,102,102,104,Primary
255,54.1,45.9,37086,12,13,7,12,21.3,106,106,104,Primary
277,52,48,36754,14,13,10,14,19.8,106,105,106,Primary
243,46.1,53.9,39359,11,12,9,9.2,26.4,103,104,102,Primary
266,52.6,47.4,41239,16,11,12,14.4,18.4,109,108,106,Primary
241,47.3,52.7,39890,10,13,8,8.6,28.2,103,102,103,Primary
237,49.4,50.6,38384,10,15,13,8.8,26.9,104,103,102,Primary
262,44.7,55.3,36659,14,15,9,13.6,19.3,108,106,104,Primary
228,49.6,50.4,39960,15,14,13,13.2,17.2,110,103,105,Primary
224,51.8,48.2,41623,14,14,14,12.2,18.4,106,105,103,Primary
223,51.1,48.9,37035,14,14,8,13.6,16.4,109,107,105,Primary
214,49.1,50.9,36477,12,24,16,11.2,19.1,110,108,110,Primary
188,50,50,36057,11,10,5,11,17.1,105,105,107,Primary
434,44.7,55.3,37697,20,17,8,17.4,24.9,103,102,99,Primary
368,52.2,47.8,39238,15,16,6,12.6,29.3,101,104,103,Primary
511,44.2,55.8,36683,23,38,20,22.4,22.8,106,103,103,Primary
922,50.7,49.3,37685,63,21,31,60.1,15.3,102,102,100,Secondary
1105,48.5,51.5,38469,73,16,19,73,15.1,106,103,101,All through
427,48.9,51.1,36133,27,22,16,26.9,15.9,101,103,103,Primary
380,49.7,50.3,39094,15,21,17,14.6,26,104,104,98,Primary
405,49.4,50.6,37481,24,27,21,21.1,19.2,105,104,101,Primary
523,46.3,53.7,36171,22,38,19,22,23.8,112,107,107,Primary
628,49.2,50.8,33654,52,22,9,51.8,12.1,102,103,104,Secondary
558,48.2,51.8,35455,37,42,18,35,15.9,109,108,106,Primary
935,50.5,49.5,40822,59,23,11,58.8,15.9,106,106,104,Secondary
652,44.8,55.2,42417,42,10,26,40,16.3,107,104,105,Secondary
353,49.6,50.4,40409,18,19,16,16.8,21,105,104,102,Primary
617,50.1,49.9,38841,34,7,15,34,18.1,106,106,104,Secondary
502,48.8,51.2,35496,41,37,13,39,12.9,107,105,104,Primary
494,50.2,49.8,37156,28,32,15,25.6,19.3,110,107,109,Primary
239,51.9,48.1,37513,18,18,13,17.1,14,103,105,104,Primary
763,53.2,46.8,41962,45,9,15,44.3,17.2,106,105,105,Secondary
472,48.3,51.7,34259,20,21,15,19.2,24.5,104,104,103,Primary
223,56.1,43.9,42507,12,14,6,10.6,21,107,107,106,Primary
394,45.7,54.3,36861,21,29,10,19.6,20.1,103,104,102,Primary
719,49.9,50.1,39068,49,23,19,47.8,15,105,105,105,Secondary
499,43.3,56.7,32898,29,13,13,26.6,18.8,105,103,105,Primary
334,100,0,33290,65,23,13,35.5,9.4,109,109,107,Secondary
604,49.5,50.5,38949,39,14,15,38.7,15.6,106,108,107,Secondary
716,52.4,47.6,34980,65,25,18,63.6,11.3,100,105,101,Secondary
1035,45.2,54.8,42354,56,18,14,56,18.5,102,102,100,Secondary
715,48.8,51.2,41401,42,21,13,40.8,17.5,104,104,101,Secondary
206,48.1,51.9,34118,13,11,4,13,15.8,109,107,106,Primary
426,41.3,58.7,38493,30,4,14,30,14.2,107,106,105,Secondary
1392,47.4,52.6,32749,86,47,17,82.8,16.8,111,107,106,Secondary
341,53.4,46.6,33033,19,15,9,17.6,18.5,107,105,104,Primary
310,48.4,51.6,37547,15,14,3,13,22.3,108,105,103,Primary
356,50.3,49.7,36028,20,13,3,16,22.3,103,103,102,Primary
211,48.8,51.2,38249,12,12,2,9.4,22.4,107,105,105,Primary
187,51.3,48.7,37984,14,13,4,13.6,13,104,103,101,Primary
539,50.1,49.9,38005,29,26,6,23.9,22.1,108,105,104,Primary
175,46.3,53.7,42282,9,15,2,8.5,20.7,107,105,104,Primary
305,52.1,47.9,41182,14,13,4,12.8,23.2,103,104,104,Primary
368,51.4,48.6,36657,20,24,3,18,19,110,107,107,Primary
451,48.6,51.4,37658,22,29,3,18.3,23.9,109,107,106,Primary
241,46.1,53.9,39277,13,9,2,11.8,19.5,106,105,103,Primary
291,49.8,50.2,40466,15,11,4,11.8,22.3,101,103,101,Primary
328,47,53,43482,17,11,0,13.4,24.5,0,0,0,Primary
322,50.9,49.1,35144,14,8,5,11.8,26.8,108,106,108,Primary
190,51.6,48.4,36624,12,8,4,9.8,19.1,106,106,107,Primary
271,47.2,52.8,39656,11,11,2,10,27.1,0,0,0,Primary
171,40.4,59.6,40509,10,14,4,8,20.8,101,103,104,Primary
246,55.3,44.7,39793,12,15,3,9.6,24.2,105,102,106,Primary
160,43.1,56.9,42157,9,11,2,7.7,20.7,0,0,0,Primary
323,49.5,50.5,39750,15,20,2,14.2,22.7,109,109,108,Primary
231,42.4,57.6,40388,11,24,4,9.8,22.9,109,109,111,Primary
332,45.2,54.8,37957,15,14,3,12.9,23.3,108,106,108,Primary
307,47.9,52.1,35834,19,11,2,15.6,19.7,108,107,105,Primary
455,51,49,38375,20,18,5,17.8,24.4,111,109,109,Primary
416,53.1,46.9,39327,20,24,3,18.2,22.9,107,105,101,Primary
242,55.4,44.6,39606,10,8,3,9.3,24.9,103,103,100,Primary
275,54.2,45.8,39753,15,16,3,12.4,21.4,98,101,98,Primary
588,48.5,51.5,35002,29,26,4,23.9,24,105,104,104,Primary
254,50,50,33631,14,14,2,14,18.1,106,103,105,Primary
468,45.5,54.5,39233,22,19,4,19.6,22.8,103,104,102,Primary
569,47.3,52.7,37180,29,33,7,23.6,23.3,104,104,102,Primary
239,49.4,50.6,37248,14,8,3,11.2,20.9,105,102,104,Primary
214,43.9,56.1,41220,10,12,2,9.6,22.3,101,103,102,Primary
229,46.7,53.3,36368,11,22,2,9.4,23.6,111,109,108,Primary
330,52.1,47.9,36488,20,21,7,17,18.6,,,,Primary
340,52.9,47.1,39468,16,24,3,14.4,23.6,,,,Primary
189,47.1,52.9,37561,11,11,3,11,16.5,,,,Primary
419,55.4,44.6,41227,21,24,5,16.3,25.7,,,,Primary
213,47.4,52.6,33854,13,11,2,10.3,20.7,,,,Primary
314,45.2,54.8,38582,15,16,2,13.5,21.8,,,,Primary
272,44.5,55.5,37770,16,13,6,13.2,20.6,0,0,0,Primary
205,53.2,46.8,39633,13,12,3,8.1,24.6,109,103,105,Primary
211,49.8,50.2,37599,15,10,2,8.5,24.8,0,0,0,Primary
477,46.8,53.2,37626,23,16,4,19.8,23.3,0,0,0,Primary
372,48.7,51.3,35991,25,18,7,20.6,17.5,0,0,0,Primary
443,51.5,48.5,38647,19,29,3,17.3,25.2,0,0,0,Primary
210,49.5,50.5,44609,11,12,2,8.2,25.8,101,103,100,Primary
211,47.4,52.6,39611,12,25,3,11,18.3,0,0,0,Primary
242,46.7,53.3,39543,14,23,7,12.2,19.3,110,109,108,Primary
204,45.6,54.4,41706,10,12,3,9.6,21.3,104,103,104,Primary
205,45.9,54.1,37296,11,9,2,9.7,21.1,102,103,103,Primary
342,50.9,49.1,37904,22,17,3,17,18.9,103,101,104,Primary
198,43.9,56.1,39980,11,8,5,9.4,20.6,109,108,107,Primary
309,47.9,52.1,35881,18,15,5,15,19.5,103,102,103,Primary
310,51.3,48.7,41909,16,16,2,11,26.4,103,104,101,Primary
360,48.9,51.1,37422,18,11,2,13.5,26.7,0,0,0,Primary
224,50.4,49.6,39573,16,9,3,13.4,16.8,103,104,103,Primary
203,47.3,52.7,38843,10,14,2,9,22.6,106,104,104,Primary
212,50.9,49.1,36500,12,12,1,11,18.7,0,0,0,Primary
232,47.8,52.2,37527,13,13,3,12,18.3,100,101,99,Primary
212,43.4,56.6,39566,11,10,7,9.1,23.4,101,99,98,Primary
153,53.6,46.4,39211,10,6,1,8.5,18,98,99,98,Primary
144,52.1,47.9,39272,11,11,3,8.6,15.7,102,101,102,Primary
207,46.9,53.1,36013,12,11,2,10.5,19.7,103,103,102,Primary
204,49,51,37385,8,9,2,7.8,26.2,110,107,107,Primary
201,49.3,50.7,35983,10,12,2,9.5,20.4,0,0,0,Primary
552,48.9,51.1,35934,27,26,4,24.9,21.4,105,103,104,Primary
410,51.2,48.8,40066,16,13,2,15.2,27,108,106,104,Primary
1268,46.7,53.3,42917,77,22,36,69,18.4,103,103,105,Secondary
1197,48.4,51.6,42231,83,27,27,76.4,15.7,109,107,110,Secondary
1039,47.4,52.6,39346,77,28,14,72.4,14.4,103,104,101,Secondary
1541,47.8,52.2,40400,86,21,54,81.9,18.8,99,101,99,Secondary
1005,48.5,51.5,42084,60,17,28,58.2,17.3,104,104,103,Secondary
794,46.3,53.7,40884,51,21,20,47.2,16.8,107,105,105,Secondary
735,51.6,48.4,41636,52,18,18,48.9,15,103,103,103,Secondary
629,47.5,52.5,40258,45,8,18,41.4,15.2,103,100,103,Secondary
530,47,53,39436,29,35,4,24.3,21.1,101,101,97,Primary
387,50.9,49.1,37121,16,13,4,14.2,27.3,107,105,105,Primary
461,48.6,51.4,36011,25,31,5,21.5,21.1,98,99,98,Primary
474,51.3,48.7,39121,31,28,3,26.1,17.3,104,106,103,Primary
343,49.9,50.1,34744,20,12,3,17,19.6,107,105,108,Primary
466,50.4,49.6,35628,22,21,7,19.2,23.3,102,102,103,Primary
421,45.1,54.9,39219,26,30,4,19.1,22.1,106,104,104,Primary
869,51.3,48.7,38272,51,15,20,50.6,17.2,107,105,104,Secondary
413,47.7,52.3,40498,19,21,6,18.8,22,103,104,103,Primary
472,49.8,50.2,36265,23,20,4,21.3,21.8,103,100,102,Primary
223,47.1,52.9,36644,11,8,4,8.8,25.1,107,104,103,Primary
1663,50.9,49.1,38780,115,22,55,110.9,15,107,108,109,Secondary
1414,45.8,54.2,34016,87,32,33,81.4,17.4,108,106,105,Secondary
205,46.8,53.2,38089,10,13,4,9.1,22.5,104,103,103,Primary
362,46.4,53.6,40070,17,13,3,15.4,23.5,107,107,103,Primary
465,52.7,47.3,42054,19,16,2,18.2,24.5,106,105,104,Primary
1483,47.9,52.1,41274,97,32,33,90.9,16.3,108,108,109,Secondary
326,50,50,38518,19,11,9,17.4,17.7,106,104,105,Primary
859,48.3,51.7,40845,57,13,23,53.8,16,105,103,103,Secondary
465,52.7,47.3,35206,22,17,5,19.9,22.4,101,101,99,Primary
88,56.8,43.2,40530,3,4,6,3,26.3,105,105,104,Primary
210,48.6,51.4,41010,17,3,5,14.6,14.4,105,103,106,Secondary
237,46.8,53.2,38352,14,15,3,10.4,21.9,104,104,103,Primary
451,49,51,37668,23,17,4,18.1,24.4,103,101,102,Primary
387,47.5,52.5,33582,18,17,2,17.5,21.9,104,108,105,Primary
279,49.1,50.9,37031,16,7,3,13,21.5,107,104,103,Primary
240,45.8,54.2,38996,12,9,4,9.7,23.8,104,105,102,Primary
675,48.3,51.7,36657,32,29,5,29.8,21.8,0,0,0,Primary
444,48.4,51.6,37922,25,20,5,19.9,22.3,101,100,102,Primary
434,42.6,57.4,38558,22,21,6,19.9,21,102,106,106,Primary
250,46,54,42023,11,9,3,9.8,24.8,109,110,106,Primary
318,49.7,50.3,38252,14,10,2,12.1,25.8,103,102,98,Primary
238,49.6,50.4,41906,10,10,3,10,23.1,104,106,104,Primary
646,50.8,49.2,36926,30,29,5,27.2,23.4,102,106,103,Primary
469,44.1,55.9,37141,22,16,3,20.7,22.7,0,0,0,Primary
350,51.7,48.3,40655,16,16,2,14.1,24.4,104,103,102,Primary
593,48.1,51.9,39346,27,30,5,22.6,25.4,106,107,105,Primary
426,45.3,54.7,38423,23,18,5,18.3,22.7,105,104,105,Primary
250,53.6,46.4,38277,16,11,3,12,20.8,103,102,104,Primary
252,49.2,50.8,38986,16,9,3,14.1,17.9,0,0,0,Primary
220,51.4,48.6,39875,12,9,25,9.8,21.5,110,104,104,Primary
242,46.3,53.7,40771,14,17,5,11.8,19.1,109,108,107,Primary
516,47.7,52.3,40326,21,13,2,19.2,26.6,106,106,107,Primary
525,50.9,49.1,38722,25,22,8,21.4,24,106,102,104,Primary
460,47.6,52.4,38392,24,14,6,20.4,22.3,107,104,107,Primary
388,50.8,49.2,36177,22,31,4,20.1,19,106,106,107,Primary
651,47.8,52.2,37763,35,34,7,30.5,20.5,108,108,107,Primary
256,45.7,54.3,35567,11,10,3,10.8,23.7,0,0,0,Primary
219,47,53,36965,9,11,4,8.6,25.5,103,100,101,Primary
663,53.7,46.3,42217,33,27,6,28.3,22.5,108,103,102,Primary
249,53.4,46.6,41760,12,6,3,10.9,22.8,106,104,105,Primary
222,45.9,54.1,40421,13,9,4,9.4,22.2,0,0,0,Primary
304,54.3,45.7,38532,16,9,2,15,20,112,113,109,Primary
236,47.9,52.1,38354,12,10,1,10.1,23.4,97,99,99,Primary
205,45.4,54.6,39118,11,8,4,10.1,20.3,103,103,105,Primary
231,42.9,57.1,38870,11,8,0,11,20.4,103,99,105,Primary
569,47.5,52.5,36301,28,29,5,23.9,23.8,105,106,104,Primary
693,46.2,53.8,38358,32,30,3,26.7,25.1,107,105,107,Primary
348,50.6,49.4,40495,16,15,2,13.8,25.2,106,107,109,Primary
250,48,52,39662,10,9,6,9.1,27,105,104,104,Primary
275,50.9,49.1,41875,13,19,4,10.2,26.5,106,104,104,Primary
227,45.4,54.6,36424,13,8,2,11.5,19.8,103,103,103,Primary
210,52.4,47.6,36082,11,10,3,10,20.4,108,106,105,Primary
228,51.3,48.7,38613,12,5,2,10.1,22,104,104,104,Primary
457,51.6,48.4,39657,26,14,4,20.7,21.4,105,103,103,Primary
205,52.2,47.8,39626,11,13,2,9.2,22.2,109,108,111,Primary
243,43.6,56.4,40421,9,8,5,8.6,27.6,103,102,101,Primary
319,52.7,47.3,38979,17,11,3,14.8,21.1,102,100,100,Primary
212,49.1,50.9,38565,11,6,2,9.8,21.3,106,106,107,Primary
346,54.9,45.1,42345,15,15,3,14.4,23.8,107,106,106,Primary
222,50,50,39885,14,12,3,9.9,22,105,105,105,Primary
329,50.2,49.8,40382,16,13,2,13.7,23.2,106,105,104,Primary
238,52.1,47.9,40181,12,15,2,9.3,25.5,104,103,102,Primary
239,50.2,49.8,37630,11,16,3,9.4,25,108,108,106,Primary
209,51.2,48.8,44188,15,13,1,11.2,18,104,104,104,Primary
361,39.9,60.1,39415,37,13,15,34.6,10.4,105,105,103,Secondary
837,46.6,53.4,43021,51,6,18,45.5,18.4,100,104,101,Secondary
884,41.4,58.6,38613,66,32,23,61.2,14.4,103,103,103,Secondary
512,43.2,56.8,44648,32,12,10,31.2,16.4,110,108,108,Secondary
777,48.9,51.1,41923,40,15,19,39.6,19.6,100,99,102,Secondary
1394,49.3,50.7,37538,86,15,31,82.5,16.9,105,104,104,Secondary
444,49.1,50.9,40350,21,24,2,17.6,24.9,112,107,107,Primary
637,52,48,37393,34,22,6,30.5,20.9,105,104,105,Primary
1083,48.1,51.9,39960,71,6,23,64.4,16.8,105,106,105,Secondary
247,51,49,34997,13,15,3,11.5,21.5,106,107,109,Primary
1394,51.9,48.1,38440,85,10,22,80.9,17.2,104,101,102,Secondary
625,0,100,42973,40,8,17,37.4,16.7,0,0,0,Secondary
1285,0,100,,,,,,,108,104,104,Secondary
1302,44.4,55.6,41913,83,6,24,77,16.9,105,105,103,Secondary
924,100,0,37769,66,12,24,62.5,14.8,106,107,105,Secondary
1351,100,0,42015,89,5,33,79.8,16.9,101,102,102,Secondary
1419,44,56,40990,88,16,36,86.8,16.3,106,107,104,Secondary
402,51.7,48.3,38843,34,12,8,34,11.8,103,103,102,Secondary
1013,0,100,39712,61,2,21,57.6,17.6,106,104,103,Secondary
1046,100,0,40781,74,4,22,67.2,15.6,103,102,104,Secondary
947,51.6,48.4,42056,73,14,25,64.6,14.7,106,103,105,Secondary
238,47.1,52.9,47870,13,10,4,12.1,19.6,105,104,105,Primary
242,50,50,29491,14,10,1,13.4,18.1,106,105,104,Primary
298,46,54,34749,18,13,1,17.2,17.3,102,100,102,Primary
434,48.4,51.6,34065,22,14,6,19.5,20.9,98,100,99,Primary
408,48.3,51.7,35080,29,21,8,27.5,14.3,0,0,0,Primary
479,53.4,46.6,37996,25,18,12,22.3,20.9,0,0,0,Primary
519,48,52,38515,31,13,8,27.4,18.9,0,0,0,Secondary
413,46.2,53.8,30215,16,19,2,15.8,26.1,0,0,0,Primary
205,47.3,52.7,35917,12,7,5,11.4,17.2,0,0,0,Primary
456,46.5,53.5,37622,24,19,5,21.2,20.6,109,106,105,Primary
288,50.3,49.7,40494,17,15,3,16.4,17.2,0,0,0,Primary
196,43.4,56.6,37821,12,10,3,10.2,18.3,106,105,105,Primary
406,54.9,45.1,40325,27,24,4,23.7,17.1,0,0,0,Primary
215,53.5,46.5,43023,13,14,4,11.1,18.7,108,107,108,Primary
429,49.7,50.3,37701,23,31,3,21.5,19.7,109,108,110,Primary
228,46.1,53.9,38336,14,12,11,12.2,18.7,107,104,102,Primary
